,date,marketcap,dividends_ttm,non_gaap_earnings_ttm,sp500_close,divisor,payout_ratio,risk_free_rates,risk_premium_rates,growth_rate
0,2021-01-04 00:00:00+00:00,19497745700580.16,76109.76969405668,154687.65372940077,3700.65,5268735411.5034275,0.4920222646029497,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDC9F90>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEF01900>,-0.9512667073165438
1,2021-01-05 00:00:00+00:00,19671757378101.535,75971.00239089342,154405.21378407994,3726.86,5278373048.115984,0.492023556258477,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB090>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEF019A0>,-0.9508518124129104
2,2021-01-06 00:00:00+00:00,19787756342890.535,75956.51482814751,154376.6855216591,3748.14,5279353584.148547,0.49202063492606074,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB130>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEF01A40>,-0.9505706373380476
3,2021-01-07 00:00:00+00:00,20078086873397.395,75970.24909574639,154403.366854582,3803.79,5278442520.064829,0.4920245629572029,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB1D0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEF01AE0>,-0.9498803448005283
4,2021-01-08 00:00:00+00:00,20161703135981.14,76070.59082644297,154607.31260733228,3824.68,5271474511.849656,0.4920245332744715,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB270>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEF01B80>,-0.9496860794675837
5,2021-01-11 00:00:00+00:00,20020048362732.926,76106.68402025384,154680.69848608845,3799.61,5268974542.843325,0.4920244397984708,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB310>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEF01C20>,-0.9500228092385858
6,2021-01-12 00:00:00+00:00,20008934971260.215,76180.60689548947,154830.96839534465,3801.19,5263860783.402097,0.4920243520079928,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB3B0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEF01CC0>,-0.9500446744635145
7,2021-01-13 00:00:00+00:00,20058789407207.23,76163.83150041905,154797.60717640613,3809.84,5264995224.78824,0.49202202081601526,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB450>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEF01D60>,-0.9499213957674122
8,2021-01-14 00:00:00+00:00,19977866427971.363,76185.90201437235,154840.80326655455,3795.54,5263510970.236479,0.49202729776091536,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB4F0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEF01E00>,-0.9501227984277159
9,2021-01-15 00:00:00+00:00,19829286819752.5,76204.78441833078,154879.3276342644,3768.25,5262200443.110861,0.492026828772672,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB590>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEF01EA0>,-0.9504769077151645
10,2021-01-19 00:00:00+00:00,20046100428965.99,75993.91172335029,154450.98267322456,3798.91,5276803195.907771,0.492026081077984,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB6D0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE040>,-0.9499609841180762
11,2021-01-20 00:00:00+00:00,20394280254856.55,75737.4324724166,153929.85701573986,3851.85,5294671457.833652,0.49202561439833076,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB770>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE0E0>,-0.949134191518253
12,2021-01-21 00:00:00+00:00,20410057659322.105,75703.16583023315,153859.16564147908,3853.07,5297089764.609027,0.49202896372540994,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB810>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE180>,-0.9490969458808539
13,2021-01-22 00:00:00+00:00,20387632272143.11,75557.98962483327,153564.68052719787,3841.47,5307247556.831919,0.4920271338789467,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB8B0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE220>,-0.949149986867709
14,2021-01-25 00:00:00+00:00,20439513189552.414,75638.66006645017,153728.79271330754,3855.36,5301583558.877099,0.4920266316506531,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB950>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE2C0>,-0.9490268790264278
15,2021-01-26 00:00:00+00:00,37602981055114.1,41053.02607598841,83245.63443401972,3849.62,9767972177.80303,0.4931553030390673,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCB9F0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE360>,-0.9099034591993517
16,2021-01-27 00:00:00+00:00,37319044390033.76,40303.171141425475,81727.40243890644,3750.77,9949702165.164421,0.493141467105274,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCBA90>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE400>,-0.9105251519861964
17,2021-01-28 00:00:00+00:00,38215455110994.25,39742.12779165429,69776.83786541976,3787.38,10090208828.000954,0.5695604588489074,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCBB30>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE4A0>,-0.9085709620478662
18,2021-01-29 00:00:00+00:00,36881634674758.02,40384.0680335727,70903.70514054417,3714.24,9929793086.811306,0.5695621682043844,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCBBD0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE540>,-0.9114787667032797
19,2021-02-01 00:00:00+00:00,37365576175194.17,40500.73191996485,71108.9206595808,3773.86,9901155892.161917,0.5695590868810074,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCBC70>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE5E0>,-0.9104312376509769
20,2021-02-02 00:00:00+00:00,38215677614801.28,40150.19999877816,70493.12551127686,3826.31,9987606235.459564,0.5695619212167758,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCBD10>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE680>,-0.9085706982276692
21,2021-02-03 00:00:00+00:00,39261207236902.32,39120.41185764556,68685.34076338228,3830.17,10250512963.367767,0.5695598423601553,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCBDB0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE720>,-0.9062922217794648
22,2021-02-04 00:00:00+00:00,40062246982449.49,38754.29842061363,68042.93506038157,3871.74,10347349507.572693,0.569556536416645,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCBE50>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE7C0>,-0.9045619952458612
23,2021-02-05 00:00:00+00:00,40404095764193.32,38576.45835247244,67730.2355310588,3886.83,10395128102.899618,0.5695603750673888,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCBEF0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE860>,-0.9038320369367141
24,2021-02-08 00:00:00+00:00,40798276528771.19,38485.97270742573,67572.1157130628,3915.59,10419445480.443863,0.5695540579320023,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCBF90>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE900>,-0.9029697805454223
25,2021-02-09 00:00:00+00:00,40236279317197.28,38980.24076941781,68439.7852319632,3911.23,10287372339.953743,0.5695552760328214,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF090>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFE9A0>,-0.9041850402040226
26,2021-02-10 00:00:00+00:00,40122651070481.766,39077.07923350318,68610.16928919996,3909.88,10261862530.431053,0.5695522928793352,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF130>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFEA40>,-0.9044309027641869
27,2021-02-11 00:00:00+00:00,39926034765619.64,39335.14378156027,69062.36469333916,3916.38,10194627376.71514,0.5695597588675387,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF1D0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFEAE0>,-0.9048575882042171
28,2021-02-12 00:00:00+00:00,39919985149580.85,39525.89738078203,69398.19846998963,3934.83,10145288398.62989,0.5695522110400965,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF270>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFEB80>,-0.9048771955103458
29,2021-02-16 00:00:00+00:00,41636248216819.83,37874.94466923045,66499.62308700914,3932.59,10587487690.509264,0.569551268278232,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF3B0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFECC0>,-0.9011536047697322
30,2021-02-17 00:00:00+00:00,42289413370816.805,37278.052934056526,65451.53613840597,3931.33,10757024561.870106,0.5695519942454388,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF450>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFED60>,-0.8997610223633656
31,2021-02-18 00:00:00+00:00,42003564406875.71,37365.986997080676,65605.9652003485,3913.97,10731703208.475208,0.5695516693180545,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF4F0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFEE00>,-0.900382468309295
32,2021-02-19 00:00:00+00:00,43635188230077.57,35902.04097514755,63035.66071444012,3906.71,11169292890.969017,0.5695512757102451,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF590>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFEEA0>,-0.896883742515443
33,2021-02-22 00:00:00+00:00,44733324108358.3,34749.87265070261,61012.65316240436,3876.5,11539616692.469572,0.5695519019342578,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF630>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFEF40>,-0.8945574788066056
34,2021-02-23 00:00:00+00:00,45500371847581.5,34207.022844551066,60059.4300561535,3881.37,11722760738.49736,0.5695529047240155,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF6D0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFA040>,-0.8929164829092842
35,2021-02-24 00:00:00+00:00,46213578858404.195,34061.400349727024,59803.697589255,3925.43,11772870452.002506,0.5695534176443109,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF770>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFA0E0>,-0.8914099551023098
36,2021-02-25 00:00:00+00:00,44261996866950.09,34692.91736097728,29908.067636918513,3829.34,11558648975.267302,1.1599852515430433,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF810>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFA180>,-0.895525863919014
37,2021-02-26 00:00:00+00:00,45340148227002.86,33706.89143942273,29058.188073259476,3811.15,11896710501.29301,1.1599791203237886,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF8B0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFA220>,-0.8932509276357994
38,2021-03-01 00:00:00+00:00,45453235860855.02,34422.8644427718,29675.484942418534,3901.82,11649239549.967712,1.1599764758542261,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF950>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFA2C0>,-0.8930130623360601
39,2021-03-02 00:00:00+00:00,46473032264355.66,33395.422906512285,28789.76435809485,3870.29,12007635671.837421,1.1599755555874307,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCF9F0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFA360>,-0.8908620926687085
40,2021-03-03 00:00:00+00:00,47173158307627.76,32469.933378738115,27991.887715478042,3819.72,12349899549.607761,1.1599765513772031,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCFA90>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFA400>,-0.8893892768214259
41,2021-03-04 00:00:00+00:00,45964827471648.17,32876.670518228304,28342.2986592102,3768.47,12197211990.97994,1.1599860305453595,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCFB30>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFA4A0>,-0.8919315149275961
42,2021-03-05 00:00:00+00:00,45174543971169.13,26904.942146497848,29400.346117476576,3841.94,11758263786.308254,0.9151233131403383,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEDCFBD0>,<scipy.interpolate.interpolate.interp1d object at 0x000001DADEEFA540>,-0.8686863508305946
