,date,marketcap,dividends_ttm,non_gaap_earnings_ttm,sp500_close,divisor,payout_ratio,risk_free_rates,real_rates,risk_premium_rates,growth_rate
0,2021-01-04 00:00:00+00:00,27955183679776.98,52.67509431866506,116.72855337576705,3700.65,7554127972.052742,0.4512614334309094,<scipy.interpolate.interpolate.interp1d object at 0x00000291E3FEDEF0>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E51DE9A0>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E5312720>,[0.92687113+0.j]
1,2021-01-05 00:00:00+00:00,28170710733168.47,53.14803972292187,116.65590190169691,3726.86,7558832564.99264,0.4555966638336776,<scipy.interpolate.interpolate.interp1d object at 0x00000291E3FEDF90>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E51DEA40>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E53127C0>,[0.92719595+0.j]
2,2021-01-06 00:00:00+00:00,28646457431106.484,52.39578864428794,117.01675575295839,3748.14,7642846166.660393,0.44776312851215994,<scipy.interpolate.interpolate.interp1d object at 0x00000291E3FF0090>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E51DEAE0>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E5312860>,[0.92892809+0.j]
3,2021-01-07 00:00:00+00:00,29106698145730.445,52.67201356347592,116.94442075076172,3803.79,7652025518.162266,0.450402107474057,<scipy.interpolate.interpolate.interp1d object at 0x00000291E3FF0130>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E51DEB80>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E5312900>,[0.92963058+0.j]
4,2021-01-08 00:00:00+00:00,28967688159591.46,53.15615529871272,116.49279171002189,3824.68,7573885438.674991,0.4563042443950606,<scipy.interpolate.interpolate.interp1d object at 0x00000291E3FF01D0>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E51DEC20>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E53129A0>,[0.9296674+0.j]
5,2021-01-11 00:00:00+00:00,28751589679816.805,53.20463319844891,116.61949422985002,3799.61,7566984422.03721,0.45622418061242637,<scipy.interpolate.interpolate.interp1d object at 0x00000291E3FF0270>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E51DECC0>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E5312A40>,[0.92949863+0.j]
6,2021-01-12 00:00:00+00:00,28758728867002.207,53.204087028840014,116.63902621541622,3801.19,7565717279.852416,0.4561431002568505,<scipy.interpolate.interpolate.interp1d object at 0x00000291E3FF0310>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E51DED60>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E5312AE0>,[0.92951391+0.j]
7,2021-01-13 00:00:00+00:00,28849613027457.113,52.89120255732198,116.53616940519129,3809.84,7572394910.929885,0.4538608298803913,<scipy.interpolate.interpolate.interp1d object at 0x00000291E3FF03B0>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E51DEE00>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E5312B80>,[0.92921328+0.j]
8,2021-01-14 00:00:00+00:00,28736934574618.445,53.32710587394234,116.23752969973063,3795.54,7571237445.6911125,0.4587770061158304,<scipy.interpolate.interpolate.interp1d object at 0x00000291E3FF0450>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E51DEEA0>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E5312C20>,[0.92937202+0.j]
9,2021-01-15 00:00:00+00:00,28519786053089.87,53.28328085489418,116.73380287125357,3768.25,7568443190.629568,0.4564511696210277,<scipy.interpolate.interpolate.interp1d object at 0x00000291E3FF04F0>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E51DEF40>,<scipy.interpolate.interpolate.interp1d object at 0x00000291E5312CC0>,[0.92887554+0.j]
